nama_lapangan,alamat,kota,kapasitas_maks,harga_suporter,harga_bronze,harga_silver,harga_gold
GOR Among Rogo,"Jl. Taman Siswa No.1, Yogyakarta",Yogyakarta,8000,75000,150000,250000,500000
GOR Jatidiri,"Jl. Karangrejo, Kota Semarang",Kota Semarang,9000,75000,150000,250000,450000
GOR Ken Arok,"Jl. Mayjen Sungkono, Kota Malang",Kota Malang,5000,50000,100000,200000,350000
GOR Tri Dharma,"Jl. Jend. A. Yani, Gresik",Gresik,4000,50000,100000,175000,300000
Istora Senayan,"Jl. Pintu Satu Senayan, Jakarta Pusat",Jakarta Pusat,7166,100000,250000,500000,1000000
GOR Pajajaran,"Jl. Pajajaran No.37, Kota Bogor",Kota Bogor,3000,50000,100000,150000,250000
GOR C-Tra Arena,"Jl. Cikutra No.278, Kota Bandung",Kota Bandung,5000,60000,125000,200000,400000
GOR Sabilulungan,"Jl. Al-Fathu, Soreang, Kabupaten Bandung",Kabupaten Bandung,8000,60000,120000,200000,350000
GOR Satria,"Jl. Prof. Dr. Suharso, Purwokerto",Purwokerto,6000,50000,100000,175000,300000
GOR Tawangalun,"Jl. Tawang Alun, Banyuwangi",Banyuwangi,2500,40000,80000,125000,200000
GOR PSCC,"Jl. POM IX, Palembang",Palembang,4000,50000,100000,180000,320000
GOR UNY,"Jl. Colombo No.1, Yogyakarta",Yogyakarta,5000,60000,125000,200000,350000
GOR Wujil,"Jl. Soekarno-Hatta, Bergas, Kabupaten Semarang",Kabupaten Semarang,1500,40000,75000,120000,150000
GOR Ki Mageti,"Jl. Raya Sarangan, Magetan",Magetan,3000,40000,80000,130000,220000
GOR Jayabaya,"Jl. Semeru, Kota Kediri",Kota Kediri,3500,50000,100000,160000,280000
GOR Singalodra,"Jl. A. Yani, Indramayu",Indramayu,2000,40000,75000,125000,200000
GOR Purna Krida,"Jl. Purna Krida, Kerobokan, Bali",Bali,1000,50000,100000,125000,175000
GOR Lila Bhuana,"Jl. Melati, Denpasar, Bali",Bali,1500,50000,100000,150000,250000
GOR Voli Indoor Si Jalak Harupat,Kutawaringin,Kabupaten Bandung,2000,60000,120000,200000,350000
